id,type,question,answer,selfcheck_score,faithfulness,answer_relevancy,context_precision,context_recall,selfcheck_flag,ragas_flag,verdict
q01,normal,How long is the standard warranty on a new Nimbus device?,The standard warranty on a new Nimbus device is one year from the original date of purchase.,0.013437303492615849,1.0,0.9671257327501896,0.9999999999,1.0,False,False,agree: grounded
q02,normal,How much does NimbusCare+ cost for the Nimbus Phone X2?,NimbusCare+ costs $149 for the Nimbus Phone X2.,0.0,0.5,0.9964417429553776,0.9999999999,1.0,False,False,agree: grounded
q03,normal,What is the service fee for a cracked phone screen with NimbusCare+?,The service fee for a cracked phone screen with NimbusCare+ is $29 for the Nimbus Phone X2.,0.09458532450668433,1.0,0.9647363194129216,0.99999999995,1.0,False,False,agree: grounded
q04,normal,How many days do I have to return a product bought from the Nimbus online store?,You have 14 days to return a product bought from the Nimbus online store.,0.0,1.0,0.9777281606295714,0.9999999999,1.0,False,False,agree: grounded
q05,normal,How much is an out-of-warranty battery replacement for the Nimbus Phone X2?,An out-of-warranty battery replacement for the Nimbus Phone X2 costs $89.,0.0,1.0,0.9913350240106293,0.9999999999,1.0,False,False,agree: grounded
q06,normal,Can I go swimming with the Nimbus Watch S?,"Yes, the Nimbus Watch S is water resistant to 50 meters and can be used for shallow-water swimming.",0.1095365822106883,1.0,0.6908007768606422,0.49999999995,0.5,False,False,agree: grounded
q07,normal,How fast does the Nimbus Phone X2 charge?,"The Nimbus Phone X2 supports 30 W wired fast charging, which charges the battery to 50% in about 25 minutes.",0.05860794548954795,1.0,0.8286081369145103,0.9999999999,1.0,False,False,agree: grounded
q08,normal,What is the battery life of Nimbus Buds Pro with noise cancellation on?,The battery life of Nimbus Buds Pro with noise cancellation on is up to 6 hours.,0.2592795272212346,1.0,0.9999999999999996,0.9999999999,1.0,False,False,agree: grounded
q09,normal,Does the Nimbus Laptop Air have a fan?,"No, the Nimbus Laptop Air has a fanless design.",0.0,1.0,0.977852266507219,0.9999999999,0.6666666666666666,False,False,agree: grounded
q10,normal,How much free cloud storage comes with a Nimbus Account?,Every Nimbus Account includes 5 GB of free cloud storage.,1.1292547574814904e-06,1.0,0.971130262831541,0.9999999999,1.0,False,False,agree: grounded
q11,normal,Does NimbusCare+ cover a stolen phone?,"No, NimbusCare+ does not cover loss or theft.",0.0,1.0,0.7490629155487691,0.9999999999666667,0.5,False,False,agree: grounded
q12,normal,What is Repair Mode and which devices support it?,Repair Mode is a feature that keeps your data encrypted and locked while allowing technicians to run diagnostics during repairs. It is available on the Nimbus Phone X2 and Nimbus Laptop Air running NimbusOS 5.2 or later.,0.018515599778359704,1.0,,0.9999999999,1.0,False,False,agree: grounded
q13,normal,What does a diagnostics reference code starting with PPT mean?,"A diagnostics reference code starting with ""PPT"" indicates a battery issue.",0.0,1.0,0.984138338299171,0.9999999999,1.0,False,False,agree: grounded
q14,normal,Can I get my Nimbus Phone X2 bought in Canada serviced in the United Kingdom?,"No, you cannot get your Nimbus Phone X2 bought in Canada serviced in the United Kingdom. It can only be serviced in the country or region where it was originally purchased.",0.409966679776248,1.0,0.9893917869444745,0.8333333332916666,0.5,True,False,DISAGREE: SelfCheck only
q15,normal,Can I trade in my Nimbus Buds Pro?,"No, Nimbus Buds Pro are not eligible for trade-in credit but can be recycled for free.",0.07612991400689262,1.0,0.7475567913188973,0.9999999999,0.5,False,False,agree: grounded
t01,trap,"Can the Nimbus Watch S measure my blood pressure, and how accurate is it?",The Nimbus Watch S does not measure blood pressure. I don't know based on the provided documents.,0.09480744891745996,0.5,0.0,0.9999999999,1.0,False,False,agree: grounded
t02,trap,How much does it cost to replace the rear camera on a Nimbus Phone X2?,I don't know based on the provided documents.,0.0,0.5,0.0,0.0,1.0,False,False,agree: grounded
t03,trap,What is the price of the Nimbus Phone X2 with 256 GB of storage?,I don't know based on the provided documents.,0.0,1.0,0.0,0.0,1.0,False,False,agree: grounded
t04,trap,How long does the Nimbus Laptop Air battery last when gaming?,I don't know based on the provided documents.,0.0,0.5,0.0,,1.0,False,False,agree: grounded
t05,trap,Which chip does the Nimbus Watch S use?,I don't know based on the provided documents.,0.0,0.5,,,,False,False,agree: grounded
t06,trap,How do I file a theft claim under NimbusCare+ and what is the deductible?,I don't know based on the provided documents.,0.0,,,0.8333333332916666,1.0,False,False,agree: grounded
t07,trap,How often should I clean the fan in my Nimbus Laptop Air?,I don't know based on the provided documents.,0.0,,,,1.0,False,False,agree: grounded
t08,trap,How long does express shipping take to Japan?,I don't know based on the provided documents.,0.0,0.0,,,,False,True,DISAGREE: Ragas only
t09,trap,What does a Nimbus Diagnostics reference code starting with BAT mean?,I don't know based on the provided documents.,0.0,,,0.0,1.0,False,False,agree: grounded
